,Id,Date,Price,Size,Symbol
1595364526,18001,1595364526,26739.0,1,MYM
1595364532,18001,1595364532,26737.0,1,MYM
1595364554,18001,1595364554,26740.0,2,MYM
1595364562,18001,1595364562,26738.0,1,MYM
1595364594,18001,1595364594,26738.0,1,MYM
1595364602,18001,1595364602,26735.0,1,MYM
1595364605,18001,1595364605,26734.0,1,MYM
1595364610,18001,1595364610,26737.0,1,MYM
1595364612,18001,1595364612,26733.0,1,MYM
1595364617,18001,1595364617,26732.0,2,MYM
1595364620,18001,1595364620,26734.0,1,MYM
1595364634,18001,1595364634,26735.0,1,MYM
1595364687,18001,1595364687,26735.0,1,MYM
1595364692,18001,1595364692,26731.0,2,MYM
1595364694,18001,1595364694,26730.0,1,MYM
1595364705,18001,1595364705,26729.0,2,MYM
1595364708,18001,1595364708,26732.0,3,MYM
1595364715,18001,1595364715,26732.0,1,MYM
1595364728,18001,1595364728,26732.0,1,MYM
1595364735,18001,1595364735,26733.0,1,MYM
1595364736,18001,1595364736,26732.0,1,MYM
1595364748,18001,1595364748,26733.0,1,MYM
1595364750,18001,1595364750,26733.0,1,MYM
1595364760,18001,1595364760,26734.0,2,MYM
1595364779,18001,1595364779,26732.0,1,MYM
1595364793,18001,1595364793,26736.0,4,MYM
1595364794,18001,1595364794,26736.0,1,MYM
1595364810,18001,1595364810,26732.0,2,MYM
1595364813,18001,1595364813,26730.0,4,MYM
1595364815,18001,1595364815,26732.0,1,MYM
1595364817,18001,1595364817,26733.0,1,MYM
1595364824,18001,1595364824,26732.0,1,MYM
1595364827,18001,1595364827,26731.0,1,MYM
1595364830,18001,1595364830,26730.0,1,MYM
1595364833,18001,1595364833,26730.0,1,MYM
1595364842,18001,1595364842,26730.0,2,MYM
1595364858,18001,1595364858,26731.0,1,MYM
1595364868,18001,1595364868,26732.0,1,MYM
1595364874,18001,1595364874,26729.0,2,MYM
1595364880,18001,1595364880,26730.0,1,MYM
1595364886,18001,1595364886,26726.0,1,MYM
1595364901,18001,1595364901,26728.0,1,MYM
1595364906,18001,1595364906,26729.0,1,MYM
1595364907,18001,1595364907,26728.0,1,MYM
1595364943,18001,1595364943,26730.0,1,MYM
1595364945,18001,1595364945,26732.0,1,MYM
1595364973,18001,1595364973,26730.0,1,MYM
1595364974,18001,1595364974,26729.0,1,MYM
1595364982,18001,1595364982,26729.0,1,MYM
1595364998,18001,1595364998,26727.0,3,MYM
1595365000,18001,1595365000,26728.0,1,MYM
1595365036,18001,1595365036,26725.0,1,MYM
1595365037,18001,1595365037,26726.0,2,MYM
1595365073,18001,1595365073,26729.0,1,MYM
1595365081,18001,1595365081,26729.0,2,MYM
1595365101,18001,1595365101,26728.0,2,MYM
1595365107,18001,1595365107,26728.0,1,MYM
1595365116,18001,1595365116,26730.0,1,MYM
1595365136,18001,1595365136,26730.0,2,MYM
1595365139,18001,1595365139,26729.0,1,MYM
1595365144,18001,1595365144,26728.0,1,MYM
1595365159,18001,1595365159,26729.0,1,MYM
1595365162,18001,1595365162,26729.0,2,MYM
1595365163,18001,1595365163,26728.0,1,MYM
1595365170,18001,1595365170,26726.0,2,MYM
1595365171,18001,1595365171,26724.0,2,MYM
1595365180,18001,1595365180,26725.0,1,MYM
1595365181,18001,1595365181,26726.0,1,MYM
1595365185,18001,1595365185,26733.0,8,MYM
1595365192,18001,1595365192,26726.0,1,MYM
1595365196,18001,1595365196,26727.0,1,MYM
1595365198,18001,1595365198,26727.0,1,MYM
1595365199,18001,1595365199,26728.0,1,MYM
